Entity,Year,rice_production,tomatoes_production ,tea_production,potatoes_production,cocoa_beans_production,meat_chicken_production,bananas_production
Afghanistan,1961,319000,1873812,56315,130000,835368,5600,3139079
Afghanistan,1962,319000,2044797,61519,115000,867170,6000,3181580
Afghanistan,1963,319000,2096077,63596,122000,922621,6160,3304256
Afghanistan,1964,380000,2388264,66604,129000,1190061,6400,3392527
Afghanistan,1965,380000,2559608,72418,132000,874245,6800,3450849
Afghanistan,1966,337000,2690984,90272,136000,969648,7200,3563461
Afghanistan,1967,396000,2580187,86111,147000,982906,7600,3603535
Afghanistan,1968,402000,2799236,100736,150000,855617,8000,3732902
Afghanistan,1969,407000,3001560,114363,154000,1004663,9600,3914729
Afghanistan,1970,366000,3111482,121398,144000,1120835,9600,4076156
Afghanistan,1971,350000,3180161,119437,167000,1178239,9600,4122492
Afghanistan,1972,400000,3335950,151578,158000,1036633,9600,4013722
Afghanistan,1973,420000,3359676,157667,165000,966647,10000,4319322
Afghanistan,1974,420000,3693404,153865,182000,1024998,10000,4584208
Afghanistan,1975,435000,4441689,154792,194500,1004331,10400,4334587
Afghanistan,1976,448000,4329267,160838,354000,876150,10400,4379423
Afghanistan,1977,400000,4353471,198731,200000,935141,10800,4430013
Afghanistan,1978,428000,4433050,205356,250000,909069,11200,4314313
Afghanistan,1979,439000,4639119,206032,257000,1014544,12000,5016742
Afghanistan,1980,415000,4821352,200307,266000,1025805,12000,5024557
Afghanistan,1981,390000,4940096,199988,273000,1063505,12400,5258948
Afghanistan,1982,364000,5035301,214481,273000,886804,12400,5395113
Afghanistan,1983,350000,5299773,225590,268000,890274,12560,5382710
Afghanistan,1984,334000,5530171,235080,260000,1073104,12800,5419385
Afghanistan,1985,317000,6261596,270108,248000,1091393,12960,5757864
Afghanistan,1986,336000,7390966,260373,238000,1172902,13120,5895371
Afghanistan,1987,324000,8241157,267240,217000,1202157,12960,5914743
Afghanistan,1988,343000,7493876,283915,218000,1527569,12800,6081461
Afghanistan,1989,320000,7686201,308333,203000,1526251,12560,6210015
Afghanistan,1990,333000,7917715,324892,224000,1521760,12400,9288151
Afghanistan,1991,335000,7735763.5,56315,223000,1437082.2,12160,9207630
Afghanistan,1992,300000,8678998,61519,225000,1557615.5,12000,9806984
Afghanistan,1993,300000,8913974,63596,227000,1507815.5,11840,8302552
Afghanistan,1994,342000,9205049,66604,229000,1573019.6,11600,7531234.5
Afghanistan,1995,390000,9387795,72418,231000,1909831.2,12320,7744865
Afghanistan,1996,340000,10599012,90272,233000,2145524.5,13040,8219554.5
Afghanistan,1997,400000,10358175,86111,235000,1940483.9,14000,9298614
Afghanistan,1998,450000,11072208,100736,235000,2171507.5,15040,10029043
Afghanistan,1999,280000,12613750,114363,235000,1993327.6,14000,10598134
Afghanistan,2000,260000,12578946,121398,235000,2350853.8,13200,9897445
Afghanistan,2001,242000,11841365,119437,235000,2114951.8,13120,9826320
Afghanistan,2002,388000,12704877,151578,230000,2140544.8,24000,12667846
Afghanistan,2003,434000,13358147,157667,350000,2444772.5,28400,12317798
Afghanistan,2004,463000,14795854,153865,300000,2795670.8,30800,13049516
Afghanistan,2005,485000,15442605,154792,300000,2720082,32320,13420803
Afghanistan,2006,540000,16389030,160838,300000,2926066.8,24400,15250486
Afghanistan,2007,552000,16623377,198731,300800,2559619,17600,15464875
Afghanistan,2008,612000,17395948,205356,280000,2836711,20800,15718760
Afghanistan,2009,645000,18831050,206032,302400,2709217.2,20000,17329060
Afghanistan,2010,672000,17946640,200307,246000,2783863,28000,16850530
Afghanistan,2011,672000,17005976,199988,205000,3099219.5,25600,17240616
Afghanistan,2012,500000,18997632,214481,230000,3131100,24800,17770070
Afghanistan,2013,512094,18885094,225590,302980,3017063.2,26400,20125252
Afghanistan,2014,537000,21990446,235080,340257,3213111.8,24809.32,18712928
Afghanistan,2015,410000,22125730,270108,327507,3376036.8,24558.74,18674434
Afghanistan,2016,356565,20242410,260373,427917,3179540.8,24297.68,18430088
Afghanistan,2017,338420,19902136,267240,513194,3669859,27637.84,19050862
Afghanistan,2018,352177,20956260,283915,615684,3716876,29434.79,19948030
Afghanistan,2019,382500,22066980,308333,921122,3720536.8,27877.47,21023334
Afghanistan,2020,439549,22085254,324892,855395,3987015,27753.95,22140154
Afghanistan,2021,458571.62,21383400,12865,864772,3771117.5,28029.23,22941956
Africa,1961,4307909,1968812,12224,2079160,835368,307963.34,3204079
Africa,1962,5580715,2139797,18708,2127292,867170,322843.06,3246580
Africa,1963,5813046,2196077,20200,2276867,922621,334631.72,3369256
Africa,1964,5833869,2488264,21601,2171469,1190061,354758.12,3462527
Africa,1965,5472291,2659608,24044,2353946,874245,373202.38,3520849
Africa,1966,5558106,2795984,22785,2268326,969648,400912.03,3633461
Africa,1967,6618242,2685187,24605,2354578,982906,429356.16,3673535
Africa,1968,6970186,2904236,28886,2614671,855617,456643.38,3798902
Africa,1969,7133809,3108560,34256,2772829,1004663,499683.22,3979729
Africa,1970,7280424,3221482,39882,3002423,1120835,530249.7,4141156
Africa,1971,7358212,3290161,40869,2970335,1178239,554556.3,4192492
Africa,1972,7297579,3455950,40430,3290146,1036633,600546.8,4090722
Africa,1973,7343175,3489676,43692,3624320,966647,644499.2,4399322
Africa,1974,7681711,3818404,50831,3737945,1024998,657427.1,4659208
Africa,1975,8092564,4561689,44559,4070951,1004331,725053.1,4404587
Africa,1976,7823911,4443267,52243,4397553,876150,793577.2,4442423
Africa,1977,7967646,4458471,38715,4602596,935141,839428.4,4490013
Africa,1978,8186104,4533050,44194,4671841,909069,892048.1,4369313
Africa,1979,8480757,4717119,50388,5006994,1014544,923875.5,5064742
Africa,1980,8599638,4892318,37320,5147586,1025805,981798.9,5073562
Africa,1981,8562392,5032496,48278,5399594,1063505,1046999.4,5311219
Africa,1982,8952675,5151461,52526,5803250,886804,1116405.2,5447893
Africa,1983,9100779,5453773,54836,5780596,890274,1220722.9,5437710
Africa,1984,9127755,5682171,60565,5712183,1073104,1307973.6,5469385
Africa,1985,9617008,6431596,56942,7061905,1091393,1375541.8,5817864
Africa,1986,10107878,7590966,61538,6843443,1172902,1463657,5957371
Africa,1987,10484207,8491157,45079,7170161,1202157,1548108.6,5977243
Africa,1988,10720287,7793876,63130,7331139,1527569,1561110.6,6143461
Africa,1989,13083406,8036201,65570,8252133,1526251,1625459.6,6270015
Africa,1990,12696110,8317715,6486,8111617,1521760,1827142.2,9348651
Africa,1991,13720991,8235763.5,5828,9268912,1437082.2,1854105.8,9268630
Africa,1992,13981969,9228998,11205,8374170,1557615.5,1885931.1,9866984
Africa,1993,14550641,9493974,12519,8455401,1507815.5,1896370.9,8364552
Africa,1994,14174525,9805049,13838,8156469,1573019.6,2008890.2,7593254.5
Africa,1995,14922073,10007795,18799,10189877,1909831.2,2158806.5,7807685
Africa,1996,15941150,11239012,17400,10865531,2145524.5,2276672.2,8295554.5
Africa,1997,16473880,11008175,18600,10264203,1940483.9,2509679.8,9388614
Africa,1998,15789317,11742208,21700,10999462,2171507.5,2536621.5,10144043
Africa,1999,17496118,13320750,25800,12181472,1993327.6,2628727.8,10736134
Africa,2000,17466410,13232466,29900,12910891,2350853.8,2777623.5,10062445
Africa,2001,16644752,12548365,30500,14501707,2114951.8,3014908,10059320
Africa,2002,17567874,13411877,29900,13347862,2140544.8,3203615.5,12992846
Africa,2003,18481074,13904647,32600,15290897,2444772.5,3182554.5,12717798
Africa,2004,18990208,15351854,38400,16342487,2795670.8,3209844.5,13550516
Africa,2005,20255826,15926605,30900,18242222,2720082,3332900.8,14009803
Africa,2006,21963472,16873030,39060,18440326,2926066.8,3386383.2,15768986
Africa,2007,20970712,17265378,23947,18301850,2559619,3778603,16004875
Africa,2008,24282754,17848948,29062,20975578,2836711,4029628.2,16280360
Africa,2009,23241634,19311050,35572,21579584,2709217.2,4188461.5,17953060
Africa,2010,25982150,18450640,22785,24664674,2783863,4468783,17534530
Africa,2011,26784346,17535176,33015,26428100,3099219.5,4584064.5,17927616
Africa,2012,29040322,18997632,40804,28765000,3131100,4728960,17770070
Africa,2013,28731328,18885094,41478,29278192,3017063.2,5080967,20125252
Africa,2014,30455512,21990446,46500,24209678,3213112,5292499.5,18712928
Africa,2015,30782704,22125730,41385,25238484,3376036.8,5435706,18674434
Africa,2016,35887744,20242410,45303,23050460,3179540.8,5432751,18430088
Africa,2017,35977384,19902136,31806,24215434,3669859,5887874,19050862
Africa,2018,36739596,20956260,49575,25476296,3716876,6197952,19948030
Africa,2019,36322772,22066980,50505,26557642,3720536.8,6423890,21023334
Africa,2020,36201644,22085254,874875,27983484,3987015,6953742.5,22140154
Africa,2021,37188988,21383400,869516,28099322,3771117.5,7250986.5,22941956
Africa (FAO),1961,4309840,30000,891413,2101160,328486,315963,0
Africa (FAO),1962,5581664,30000,928628,2149292,318316,330843,0
Africa (FAO),1963,5814128,31000,950032,2300867,328226,344632,0
Africa (FAO),1964,5834832,32000,971021,2195469,321409,366758,0
Africa (FAO),1965,5473411,32000,994769,2378946,322824,386002,0
Africa (FAO),1966,5558500,35000,1034421,2293326,342394,413012,0
Africa (FAO),1967,6620027,37000,1035078,2379578,372404,441556,0
Africa (FAO),1968,6971161,36000,1063242,2639671,353353,468943,0
Africa (FAO),1969,7136714,36000,1078945,2798829,372910,512085,0
Africa (FAO),1970,7286522,37000,1138907,3028423,381416,542850,1378
Africa (FAO),1971,7364212,38000,1188889,2993335,415586,567356,1598
Africa (FAO),1972,7302579,38000,1209763,3310146,429816,613507,1548
Africa (FAO),1973,7349175,40000,1252436,3646320,396443,657589,649.87
Africa (FAO),1974,7688911,39000,1289300,3758945,475892,670827,374
Africa (FAO),1975,8099748,40000,1406904,4097851,496591,738603,278
Africa (FAO),1976,7835911,41000,1443819,4422553,432360,807227,11
Africa (FAO),1977,7980646,42000,1457953,4624596,458408,853228,11
Africa (FAO),1978,8194104,44000,1504396,4691841,521229,906448,92.13
Africa (FAO),1979,8488757,42000,1503218,5024994,571446,938876,167.41
Africa (FAO),1980,8607638,43000,1549966,5163511,552693,998099,226.74
Africa (FAO),1981,8574392,45000,1628285,5414288,560954,1065499,277.29
Africa (FAO),1982,8956675,46000,1751493,5819250,607052,1134905,335
Africa (FAO),1983,9103279,46500,1816235,5795596,580952,1239723,335
Africa (FAO),1984,9129755,47000,1821588,5730183,570372,1326974,305.11
Africa (FAO),1985,9618908,47000,1866014,7079905,735514,1395042,155.16
Africa (FAO),1986,10109478,47000,1988351,6863443,728876,1483657,265.09
Africa (FAO),1987,10485407,47800,1962200,7210161,580735,1568609,241.79
Africa (FAO),1988,10721487,48000,1991339,7391139,667119,1581569,220.68
Africa (FAO),1989,13083906,59000,874875,8342133,688701,1646489,242.52
Africa (FAO),1990,12697110,60000,869516,8221617,555441,1848758,234.99
Africa (FAO),1991,13722091,64000,891413,9398912,620000.8,1876525.8,232.73
Africa (FAO),1992,13983169,110000,928628,8524170,628432.44,1909031.1,11014609
Africa (FAO),1993,14552141,106038.46,950032,8625401,647083.06,1919970.9,11185812
Africa (FAO),1994,14176175,127000,971021,8336469,624247.06,2032890.2,11712912
Africa (FAO),1995,14923273,150000,994769,10389877,614401.4,2183806.5,12860566
Africa (FAO),1996,15943150,180000,1034421,11077531,562919.1,2303472.2,13420982
Africa (FAO),1997,16475880,150000,1035078,10514203,576919.06,2534679.8,13242748
Africa (FAO),1998,15791317,156000,1063242,11163572,532341.25,2561621.5,14047559
Africa (FAO),1999,17507118,160000,1078945,12377972,474321.44,2654227.8,15235025
Africa (FAO),2000,17474410,162000,1138907,13180265,427155.1,2803623.5,16182125
Africa (FAO),2001,16655752,170895,1188889,14702213,452883.8,3041408,16691869
Africa (FAO),2002,17575874,162000,1209763,13641145,427172.38,3230615.5,17190336
Africa (FAO),2003,18496822,151000,1252436,15599897,462155.25,3211554.5,17935436
Africa (FAO),2004,19026208,152000,1289300,16678487,486392.06,3246844.5,15570098
Africa (FAO),2005,20275826,152000,1406904,18627222,474971.56,3363400.8,15663446
Africa (FAO),2006,21989472,164853,1443819,18692326,497445.88,3411383.2,15158501
Africa (FAO),2007,20993712,160000,1457953,18565750,491148.12,3805603,16310357
Africa (FAO),2008,24312754,162500,1504396,21259578,521504.97,4056628.2,16300488
Africa (FAO),2009,23264134,162376,1503218,21880584,588877.9,4216461.5,16141832
Africa (FAO),2010,26005500,199283,1549966,24979674,617808.2,4506783,15610913
Africa (FAO),2011,26809346,200000,1628285,26764100,721460.5,4624064.5,16174671
Africa (FAO),2012,29040322,205000,1751493,28765000,672788.9,4728960,16088928
Africa (FAO),2013,28731328,226220,1816235,29278192,677368.8,5080967,16756054
Africa (FAO),2014,30455512,234150,1821588,24209678,722826.56,5292499.5,15793298
Africa (FAO),2015,30782704,256517.94,1866014,25238484,779576.94,5435706,16953604
Africa (FAO),2016,35887744,284552,1988351,23050460,735623.75,5432751,17024876
Africa (FAO),2017,35977384,286810.78,1962200,24215434,827035.94,5887874,17741540
Africa (FAO),2018,36739596,288626,1991339,25476296,883448,6197952,18590014
Africa (FAO),2019,36322772,299669,26542,26557642,957377.1,6423890,18948752
Africa (FAO),2020,36201644,313109,23387,27983484,989628.8,6953742.5,19305228
Africa (FAO),2021,37188988,314470.1,24599,28099322,991033.1,7250986.5,19917944
Albania,1961,4603,139720,28233,30188,400,1530,19380992
Albania,1962,5683,140000,26592,19552,400,1580,21725672
Albania,1963,9135,140000,28600,23726,300,1700,22023300
Albania,1964,8173,112707,29300,33706,300,1900,22862982
Albania,1965,10225,85260,28500,21395,400,2385,22557776
Albania,1966,10524,82493,30318,107816,300,2900,22603926
Albania,1967,11254,69128,31295,115830,400,3000,22539128
Albania,1968,12807,84100,12007,159695,500,3200,21664572
Albania,1969,14276,93107,24068,120958,300,3400,22874422
Albania,1970,14924,118120,27216,106707,445,3400,21967632
Albania,1971,10760,119870,32169,99814,516,3800,23518298
Albania,1972,12000,136139,29388,81400,600,3900,23641678
Albania,1973,15168,173033,34097,81000,700,4300,25060008
Albania,1974,12000,163448,37022,104000,500,4750,25051784
Albania,1975,13500,221113,38305,108000,500,5300,25013612
Albania,1976,14000,179981,36610,115000,300,5900,25296464
Albania,1977,14400,185617,39708,117000,300,6300,25339334
Albania,1978,14800,181141,38772,119000,200,6800,25663854
Albania,1979,15520,181540,40937,118800,200,7300,26530578
Albania,1980,13000,277700,42202,98800,200,7800,29438570
Albania,1981,13900,302804,37900,119100,200,8250,29774788
Albania,1982,11900,246393,43285,101200,200,8800,30963900
Albania,1983,13000,251657,38000,136000,200,7900,30460266
Albania,1984,12600,265700,37595,90000,100,7500,31207298
Albania,1985,12000,348550,40611,85000,100,6000,32750030
Albania,1986,11000,472800,43581,110000,100,6000,32127610
Albania,1987,10600,457330,39075,89000,100,6000,30128270
