LOCATION;TIME;PC_HEALTHXP;PC_GDP;USD_CAP;FLAG_CODES;TOTAL_SPEND
AUS;1971;15992;727;3572;;46211
AUS;1972;15091;686;36056;;47511
AUS;1973;15117;681;39871;;53347
AUS;1974;14771;755;47559;;65265
AUS;1975;11849;682;47561;;66076
AUS;1976;1092;63;46908;;65826
AUS;1977;10087;613;47649;;67623
AUS;1978;9958;591;50799;;72937
AUS;1979;8981;523;49766;;7223
AUS;1980;9263;54;56972;;83703
AUS;1981;9388;548;6539;;97608
AUS;1982;9248;564;67606;;102612
AUS;1983;9589;58;74083;;113858
AUS;1984;9465;569;7727;;120108
AUS;1985;956;58;84134;;132578
AUS;1986;9568;599;8994;;144069
AUS;1987;9543;582;93578;;152194
AUS;1988;9823;595;102027;;168673
AUS;1989;10199;623;111197;;186971
AUS;1990;10474;677;120773;;20610
AUS;1991;10937;739;134356;;232221
AUS;1992;11407;778;149096;;260843
AUS;1993;11977;819;165359;;29214
AUS;1994;12508;859;183972;;328482
AUS;1995;12762;882;198406;;358559
AUS;1996;13106;924;215606;;394796
AUS;1997;13437;95;23259;;430687
AUS;1998;14084;1019;261728;;489719
AUS;1999;14679;1075;291589;;551861
AUS;2000;15702;1194;338665;;648645
AUS;2001;16059;1236;364771;;70813
AUS;2002;15374;1213;373044;;733084
AUS;2003;15761;1244;401302;;798406
AUS;2004;15656;1269;429882;;865241
AUS;2005;15218;1213;432513;;882102
AUS;2006;15276;1219;461821;;955872
AUS;2007;15201;1225;485887;;1011986
AUS;2008;15412;1273;510172;;1084075
AUS;2009;15535;1334;553724;;1201121
AUS;2010;1563;1324;563857;;1242276
AUS;2011;15311;1315;580921;;1297779
AUS;2012;15308;1336;582874;;1324771
AUS;2013;14989;132;627402;;1450387
AUS;2014;14386;1306;616997;;1447518
AUT;1990;10131;784;152003;B;116706
AUT;1991;10001;78;160118;;12417
AUT;1992;9889;801;169708;;133063
AUT;1993;9746;84;181793;;143719
AUT;1994;9457;852;192083;;152439
AUT;1995;9542;854;201335;;160027
AUT;1996;9839;876;214418;;170656
AUT;1997;11213;101;255927;;203924
AUT;1998;11843;1087;288769;;230345
AUT;1999;12551;117;322318;;257607
AUT;2000;12734;1174;344082;;275664
AUT;2001;12897;1198;356061;;286355
AUT;2002;13154;1238;385304;;311401
AUT;2003;13607;1304;417087;;338734
AUT;2004;1341;1294;435327;;355748
AUT;2005;13325;1277;445188;;366293
AUT;2006;1337;1268;474834;;392623
AUT;2007;13605;1289;504849;;418797
AUT;2008;13606;1311;538253;;447907
AUT;2009;1253;1271;517265;;431571
AUT;2010;12368;1251;524143;;438362
AUT;2011;12473;1236;546783;;458841
