country,year,continent,life_expectancy,population,co2_emissions,electric_power_consumption,forest_area,individuals_using_the_internet,military_expenditure,people_practicing_open_defecation,people_using_at_least_basic_drinking_water_services,beer_consumption_per_capita
Albania,2000,Europe,73.955,3089027,1.026213109,1414.703784,28.07664234,0.114097347,1.246360242,0.888852778,86.75447063,1.33431
Albania,2001,Europe,74.288,3060173,1.055495882,1449.647413,28.12324818,0.325798377,1.309291375,0.836397052,86.90407032,1.48995
Albania,2002,Europe,74.579,3051010,1.232378783,1351.230796,28.16985401,0.390081273,1.320034494,0.781898762,87.45163517,1.28697
Albania,2003,Europe,74.828,3039616,1.338984981,1578.165919,28.21645985,0.971900415,1.336842924,0.728191005,87.98719397,1.4483
Albania,2004,Europe,75.039,3026939,1.404058688,1469.264539,28.26306569,2.420387798,1.381157942,0.675280758,88.51058296,1.37617
Albania,2005,Europe,75.228,3011487,1.338209399,1797.525487,28.30967153,6.043890864,1.350004971,0.623198199,89.02118831,1.6518
Albania,2006,Europe,75.423,2992547,1.339995739,1722.07285,28.35627737,9.609991316,1.567769089,0.571934833,89.51913233,1.7933
Albania,2007,Europe,75.646,2970017,1.39393137,1218.360146,28.40288321,15.03611541,1.820765344,0.521500352,90.00418728,1.94369
Albania,2008,Europe,75.912,2947314,1.384311249,1213.124369,28.44948905,23.86,1.984868857,0.471902868,90.47615076,2.12835
Albania,2009,Europe,76.221,2927519,1.441493562,1617.744156,28.49609489,41.2,1.51721714,0.423170008,90.93441293,2.20543
Albania,2010,Europe,76.562,2913021,1.527623663,1835.684072,28.54270073,45,1.558591893,0.375274153,91.37947821,1.71
Albania,2011,Europe,76.914,2905195,1.66942319,1943.343354,28.59465328,47,1.528266338,0.32823482,91.81088697,1.88
Albania,2012,Europe,77.252,2900401,1.50324046,2205.70392,28.64660584,49.4,1.487082577,0.282042419,92.22877874,1.34
Albania,2013,Europe,77.554,2895092,1.533630039,2118.327776,28.69855839,51.8,1.408982101,0.236762285,92.63159485,1.34
Albania,2014,Europe,77.813,2889104,1.668337371,2533.252829,28.75051095,54.3,1.346515991,0.139691059,93.02005646,1.29
Albania,2015,Europe,78.025,2880703,1.60377515,2309.366503,28.8024635,56.9,1.162303864,0.109372147,93.39432534,1.48
Albania,2016,Europe,78.86,2876101,1.590069333,,28.80218978,59.6,1.103581009,0.106063704,93.75487791,1.52
Albania,2017,Europe,79.047,2873457,1.880557113,,28.79206204,62.4,1.109151006,0.064126603,94.1020962,1.64
Albania,2018,Europe,79.184,2866376,1.85464154,,28.7919708,65.4,1.160544785,0.026230864,94.43639343,1.75
Albania,2019,Europe,79.282,2854191,1.749462457,,28.7919708,68.55039112,1.280805962,0,94.75822472,1.75
Albania,2020,Europe,76.989,2837849,1.544550115,,28.7919708,72.23767711,1.298479116,0,95.06803881,
Algeria,2000,Africa,70.64,31042238,2.578744484,652.8013246,0.662960693,0.491705679,3.433385635,6.233949004,89.84882827,0.11978
Algeria,2001,Africa,71.116,31451513,2.50067461,683.2948063,0.677193984,0.646114017,3.820695463,5.816862792,90.11344378,0.10026
Algeria,2002,Africa,71.605,31855110,2.586712195,709.0914831,0.691427276,1.59164126,3.700829359,5.411176259,90.37379792,0.17177
Algeria,2003,Africa,72.101,32264159,2.733373662,730.808966,0.705660567,2.195359731,3.251210893,5.017041887,90.62972314,0.19139
Algeria,2004,Africa,72.594,32692153,2.737354064,786.4144235,0.719893859,4.634475088,3.283884523,4.634333998,90.88125597,0.23826
Algeria,2005,Africa,73.072,33149720,2.841351373,804.1073343,0.734127151,5.843942092,2.83417835,4.263133992,91.12824941,0.29652
Algeria,2006,Africa,73.521,33641007,2.966914681,890.6259238,0.748360442,7.375984956,2.643807548,3.903086061,91.37095552,0.17637
Algeria,2007,Africa,73.936,34166976,3.007289846,862.4295937,0.762593734,9.451190626,2.923321027,3.554243607,91.60922889,0.16596
Algeria,2008,Africa,74.311,34730604,3.102451083,894.2845864,0.776827026,10.18,3.024747141,3.216277793,91.84330409,0.20481
Algeria,2009,Africa,74.644,35333882,3.174573294,947.2913284,0.791060317,11.23,3.848513698,2.890114176,92.07203717,0.19895
Algeria,2010,Africa,74.938,35977451,3.173654529,866.3073024,0.805293609,12.5,3.518012609,2.574999351,92.29597417,0.18
